Name,Angular_Velocity_Z_Component,Velocity_2_Z_Component,Total_Deformation_Maximum,Equivalent_Stress_Maximum,Energy_Probe_Maximum_Total
0 ,395,-122.50,0.32,965493109.44,1044616.68
1,400,-125.00,0.32,988236603.39,1071678.09
2,405,-127.50,0.33,985170244.72,1099089.05
3,410,-130.00,0.33,998510805.62,1126849.09
4,415,-132.50,0.33,1025122647.07,1154959.66
5,420,-135.00,0.34,1042257802.27,1183418.70
6,425,-137.50,0.34,1045972088.64,1212227.17
7,430,-140.00,0.35,1063739968.26,1241385.77
8,435,-142.50,0.35,1081782554.56,1270892.79
9,440,-145.00,0.35,1074941239.35,1300749.62
10,445,-147.50,0.36,1091663495.71,1330956.29
11,450,-150.00,0.36,1111614281.76,1361510.94
12,455,-152.50,0.37,1128499720.94,1392415.38
13,460,-155.00,0.37,1138445437.40,1423668.45
14,465,-157.50,0.37,1141283387.30,1455269.35
15,470,-160.00,0.38,1151349687.41,1487220.99
16,475,-162.50,0.38,1151705279.37,1519521.41
17,480,-165.00,0.39,1151810374.95,1552172.16
18,485,-167.50,0.39,1153575712.43,1585172.69
19,490,-170.00,0.39,1156710272.08,1618522.46
20,495,-172.50,0.40,1159875532.15,1652222.09
21,500,-175.00,0.40,1160267187.99,1686270.94
22,505,-177.50,0.41,1166516437.26,1720669.26
23,510,-180.00,0.41,1160706960.91,1755416.94
24,515,-182.50,0.42,1161135607.57,1790513.97
25,520,-185.00,0.42,1192535434.92,1825960.34
26,525,-187.50,0.42,1194160768.61,1861756.08
27,530,-190.00,0.43,1195442179.60,1897901.16
28,535,-192.50,0.43,1260620152.16,1934396.09
29,540,-195.00,0.44,1165262629.30,1971239.88
30,545,-197.50,0.44,1187449149.86,2008432.89
31,550,-200.00,0.44,1186111087.63,2045975.50
32,555,-202.50,0.45,1164081556.03,2083867.34
33,560,-205.00,0.45,1170924365.26,2122108.52
34,565,-207.50,0.46,1200800551.68,2160699.06
35,570,-210.00,0.46,1250158095.91,2199638.96
36,575,-212.50,0.46,1211974842.71,2238928.33
37,580,-215.00,0.47,1206894832.98,2278566.92
38,585,-217.50,0.47,1229915797.63,2318554.99
39,590,-220.00,0.47,1200799568.99,2358892.29
40,595,-222.50,0.48,1207006931.26,2399579.31
41,600,-225.00,0.48,1219497170.91,2440615.55
42,605,-227.50,0.49,1221375840.73,2482001.04
43,610,-230.00,0.49,1263511619.51,2523735.74
44,615,-232.50,0.49,1238068818.10,2565819.92
45,620,-235.00,0.50,1263824083.73,2608253.32
46,625,-237.50,0.50,1200305339.15,2651035.95
47,630,-240.00,0.50,1199537902.33,2694168.05
48,635,-242.50,0.51,1239251439.55,2737649.65
49,640,-245.00,0.51,1246617278.20,2781480.70
50,645,-247.50,0.52,1229740013.04,2825660.74